일시,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),체감온도,습도범주
2017-01-01 00:00:00,0.2,,2.2,79.0,4.9,-3.0,1018.8,1029.7,,,,,7.0,7.0,8.0,491,-0.9,0.1,0.3,1.7,0.4354984506014109,높음
2017-01-01 01:00:00,0.0,,1.4,78.0,4.8,-3.3,1018.9,1029.9,,,,,,4.0,7.0,549,-0.9,0.0,0.3,1.7,1.1211133583421287,높음
2017-01-01 10:00:00,0.8,,2.1,77.0,5.0,-2.7,1020.1,1031.0,0.1,0.28,,,9.0,9.0,10.0,422,0.6,0.1,0.5,1.7,1.1712687199034082,높음
2017-01-01 11:00:00,2.5,,1.9,71.0,5.2,-2.2,1019.9,1030.7,0.6,0.71,,,9.0,9.0,10.0,418,2.9,0.2,0.5,1.7,3.1724845507371366,높음
2017-01-01 12:00:00,4.0,,1.3,69.0,5.6,-1.1,1018.7,1029.5,0.2,0.86,,,9.0,9.0,8.0,433,3.6,0.4,0.5,1.7,5.402542017797243,보통
2017-01-01 13:00:00,5.1,,1.4,65.0,5.7,-0.9,1017.9,1028.6,0.1,0.73,,,8.0,7.0,8.0,430,5.1,0.6,0.5,1.7,6.424760598661254,보통
2017-01-01 14:00:00,6.7,,0.7,61.0,6.0,-0.3,1017.1,1027.7,0.7,0.9,,,8.0,7.0,7.0,442,7.2,1.1,0.5,1.7,9.05393639920406,보통
2017-01-01 15:00:00,6.9,,0.9,65.0,6.4,0.7,1016.8,1027.4,0.0,0.41,,,9.0,9.0,8.0,471,5.0,1.1,0.6,1.7,8.918531791624668,보통
2017-01-01 16:00:00,6.8,,1.2,67.0,6.6,1.0,1016.5,1027.1,0.0,0.21,,,9.0,9.0,7.0,491,4.3,1.1,0.7,1.8,8.415645948351134,보통
2017-01-01 17:00:00,6.5,,0.7,69.0,6.7,1.2,1016.2,1026.8,0.0,0.1,,,9.0,9.0,8.0,435,3.2,1.2,0.7,1.8,8.854735182287325,보통
2017-01-01 18:00:00,5.6,,2.4,70.0,6.3,0.5,1015.8,1026.5,0.0,0.01,,,8.0,8.0,9.0,384,2.4,1.2,0.8,1.8,6.07506550078535,보통
2017-01-01 19:00:00,4.8,,2.2,73.0,6.2,0.3,1015.5,1026.2,,,,,,8.0,11.0,383,1.2,0.9,0.8,1.8,5.3635326181860705,높음
2017-01-01 20:00:00,4.2,,1.9,73.0,6.0,-0.2,1015.4,1026.1,,,,,,6.0,11.0,383,0.6,0.7,0.9,1.9,4.9759865416874565,높음
2017-01-01 21:00:00,4.0,,2.6,74.0,6.0,-0.2,1014.6,1025.3,,,,,9.0,9.0,10.0,366,0.8,0.9,0.9,1.9,4.205807632624536,높음
2017-01-01 22:00:00,3.9,,1.4,75.0,6.1,-0.1,1014.4,1025.1,,,,,,9.0,10.0,359,1.4,1.1,0.9,1.9,5.176843600939107,높음
2017-01-01 23:00:00,3.9,,1.4,75.0,6.1,-0.1,1014.1,1024.8,,,,,,9.0,11.0,357,1.5,1.2,0.9,1.9,5.176843600939107,높음
2017-01-02 00:00:00,3.9,,1.5,75.0,6.1,-0.1,1014.2,1024.9,,,,,9.0,9.0,10.0,359,1.8,1.3,1.0,1.9,5.061769700742044,높음
2017-01-02 01:00:00,3.9,,2.1,75.0,6.1,-0.1,1013.5,1024.2,,,,,,9.0,11.0,345,1.8,1.4,1.0,2.0,4.481994830294506,높음
2017-01-02 02:00:00,3.8,,2.2,77.0,6.2,0.1,1013.0,1023.7,,,,,,2.0,6.0,330,1.6,1.4,1.1,2.0,4.292220842624187,높음
2017-01-02 03:00:00,3.7,,1.7,76.0,6.1,-0.1,1013.3,1024.0,,,,,9.0,9.0,10.0,339,1.7,1.4,1.1,2.0,4.639111813842399,높음
2017-01-02 04:00:00,3.7,,1.5,77.0,6.1,0.0,1012.7,1023.4,,,,,10.0,8.0,4.0,331,1.7,1.6,1.2,2.1,4.852854616966548,높음
2017-01-02 05:00:00,3.7,,1.5,80.0,6.3,0.5,1012.2,1022.9,,,,,10.0,7.0,4.0,328,2.3,1.7,1.3,2.1,4.852854616966548,높음
2017-01-02 06:00:00,3.6,0.3,1.1,89.0,7.0,1.9,1011.6,1022.3,,,,,10.0,7.0,4.0,170,2.2,1.8,1.4,2.1,5.26201706025734,높음
2017-01-02 07:00:00,3.6,,1.1,88.0,6.9,1.7,1011.6,1022.3,,,,,10.0,7.0,4.0,198,2.6,2.0,1.5,2.2,5.26201706025734,높음
2017-01-02 08:00:00,3.8,,1.4,87.0,7.0,1.8,1011.4,1022.1,0.0,0.01,,,10.0,6.0,10.0,224,2.9,2.2,1.7,2.2,5.072850517795596,높음
2017-01-02 09:00:00,4.1,0.0,0.9,87.0,7.1,2.1,1011.5,1022.2,0.0,0.06,,,10.0,7.0,10.0,216,3.6,2.4,1.8,2.3,6.086690324318877,높음
2017-01-02 10:00:00,5.2,,2.4,86.0,7.6,3.0,1011.9,1022.6,0.0,0.16,,,9.0,9.0,10.0,305,5.2,2.8,2.0,2.3,5.644018393635809,높음
2017-01-02 11:00:00,6.3,,2.3,82.0,7.8,3.4,1012.0,1022.6,0.0,0.52,,,9.0,9.0,10.0,294,9.0,4.0,2.3,2.5,6.898660350609374,높음
2017-01-02 12:00:00,7.6,,2.1,70.0,7.3,2.4,1011.3,1021.8,0.3,0.77,,,7.0,7.0,10.0,409,12.2,5.1,2.7,2.6,8.433506639470977,보통
2017-01-02 13:00:00,8.1,,3.1,69.0,7.4,2.7,1010.8,1021.3,1.0,1.08,,,8.0,8.0,10.0,367,13.3,6.7,3.4,2.7,8.376821565867873,보통
2017-01-02 14:00:00,9.2,,3.1,59.0,6.8,1.5,1010.2,1020.7,0.9,1.15,,,6.0,6.0,7.0,331,15.2,7.8,4.1,3.0,9.583173067586568,보통
2017-01-02 15:00:00,8.3,,3.6,64.0,7.0,1.8,1010.3,1020.8,0.5,0.71,,,8.0,8.0,7.0,305,10.9,7.9,4.8,3.3,8.361715271906725,보통
2017-01-02 16:00:00,8.0,,3.2,65.0,7.0,1.8,1010.7,1021.2,0.0,0.44,,,8.0,8.0,7.0,262,9.8,7.4,5.1,3.6,8.21711809576313,보통
2017-01-02 17:00:00,7.1,,2.3,69.0,6.9,1.7,1011.0,1021.6,0.0,0.19,,,6.0,6.0,7.0,247,6.6,6.6,5.1,3.8,7.7582782446458936,보통
2017-01-02 18:00:00,6.4,,2.1,73.0,7.0,1.9,1011.4,1022.0,0.0,0.02,,,8.0,8.0,7.0,221,5.3,5.7,5.0,4.0,7.151935241900231,높음
2017-01-02 19:00:00,6.0,,2.0,78.0,7.3,2.4,1011.6,1022.2,,,,,,9.0,7.0,193,4.6,5.3,4.8,4.1,6.803471341592671,높음
2017-01-02 20:00:00,5.0,,3.2,81.0,7.1,2.0,1011.9,1022.6,,,,,,5.0,4.0,184,2.3,4.5,4.6,4.2,4.91980862697931,높음
2017-01-02 21:00:00,4.3,,3.1,84.0,7.0,1.8,1012.0,1022.7,,,,,9.0,9.0,8.0,164,3.0,3.9,4.3,4.2,4.209425469021464,높음
2017-01-02 22:00:00,3.7,,3.0,78.0,6.2,0.2,1012.3,1023.0,,,,,,6.0,3.0,197,2.2,3.8,4.1,4.2,3.613517156609614,높음
2017-01-02 23:00:00,2.8,,2.8,76.0,5.7,-1.0,1012.8,1023.6,,,,,,2.0,,224,0.0,3.4,3.9,4.1,2.763018965268003,높음
2017-01-03 00:00:00,1.8,,1.5,79.0,5.5,-1.4,1013.2,1024.0,,,,,0.0,0.0,,205,-0.5,2.5,3.6,4.1,2.8681613210993318,높음
2017-01-03 01:00:00,1.0,,2.6,82.0,5.4,-1.7,1013.3,1024.1,,,,,,8.0,6.0,194,-0.7,1.9,3.3,4.0,0.9553173606505854,높음
2017-01-03 02:00:00,0.2,,1.4,83.0,5.2,-2.3,1013.4,1024.3,,,,,,1.0,,213,-1.6,1.6,3.0,3.9,1.329099524629153,높음
2017-01-03 10:00:00,1.1,,0.8,55.0,3.6,-6.9,1015.0,1025.9,1.0,0.69,,,0.0,0.0,,572,2.1,0.7,1.8,3.1,3.2532843984948108,보통
2017-01-03 11:00:00,4.1,,1.2,53.0,4.3,-4.6,1014.7,1025.4,1.0,1.13,,,0.0,0.0,,628,6.2,1.0,1.8,3.0,5.635356486985563,보통
2017-01-03 12:00:00,5.9,,2.4,44.0,4.1,-5.4,1014.0,1024.7,1.0,1.41,,,0.0,0.0,,684,9.0,3.1,2.0,3.0,6.398350831147507,보통
2017-01-03 13:00:00,7.0,,3.0,39.0,3.9,-6.0,1013.2,1023.8,1.0,1.53,,,0.0,0.0,,760,12.5,4.9,2.6,3.0,7.2243663456324985,낮음
2017-01-03 14:00:00,7.0,,3.2,43.0,4.3,-4.7,1012.7,1023.3,1.0,1.3,,,0.0,0.0,,790,11.8,6.0,3.2,3.1,7.118014939501858,보통
2017-01-03 15:00:00,7.2,,3.7,47.0,4.8,-3.3,1012.6,1023.2,1.0,1.13,,,0.0,0.0,,904,9.7,6.9,3.9,3.3,7.096786456362382,보통
2017-01-03 16:00:00,6.9,,3.3,48.0,4.8,-3.3,1012.4,1023.0,1.0,0.73,,,0.0,0.0,,981,7.1,6.7,4.3,3.5,6.956773114991568,보통
2017-01-03 17:00:00,5.3,,2.8,56.0,5.0,-2.7,1012.4,1023.1,1.0,0.31,,,0.0,0.0,,1629,2.9,5.7,4.5,3.8,5.485537430606323,보통
2017-01-03 18:00:00,3.8,,2.6,60.0,4.8,-3.2,1012.1,1022.8,0.1,0.02,,,0.0,0.0,,1689,0.4,4.1,4.3,3.9,3.9891082811596057,보통
2017-01-03 19:00:00,2.8,,1.9,61.0,4.6,-3.9,1012.4,1023.2,,,,,,0.0,,1860,0.0,2.9,4.0,4.0,3.4907496079636626,보통
2017-01-03 20:00:00,2.2,,2.1,61.0,4.4,-4.5,1012.7,1023.5,,,,,,0.0,,1986,-0.4,2.2,3.6,4.0,2.6664353504026144,보통
2017-01-03 21:00:00,1.8,,1.8,60.0,4.2,-5.1,1012.8,1023.6,,,,,0.0,0.0,,1978,-0.7,1.8,3.2,3.9,2.5315808286694983,보통
2017-01-03 22:00:00,1.7,,1.6,63.0,4.3,-4.6,1012.8,1023.6,,,,,,0.0,,1826,-0.9,1.5,2.9,3.8,2.6452422907635746,보통
2017-01-03 23:00:00,1.2,,0.9,68.0,4.5,-4.0,1012.8,1023.6,,,,,,0.0,,1668,-1.3,1.3,2.7,3.7,3.1537116617521663,보통
2017-01-04 00:00:00,1.0,,0.4,71.0,4.7,-3.6,1013.0,1023.8,,,,,9.0,9.0,7.0,1623,-0.8,1.1,2.5,3.6,4.264415201577288,높음
