날짜,Sales Amt,Sales SU,Unit Price,금액,기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),체감온도,PM10,PM25,SO2,CO,O3,NO2
2018-05-23,6683159.0,101.0,3273.3561643835615,6683159,17.454166666666666,2.0,2.6999999999999997,62.0,11.720833333333333,8.920833333333333,998.25,1008.2375000000001,0.8466666666666666,1.9466666666666665,,,2.8,2.130434782608696,4.285714285714286,1652.75,21.033333333333335,20.625,19.966666666666665,19.083333333333332,18.86265961512798,,,,,,
2018-05-24,10438841.0,138.0,3490.867469879518,10438841,17.958333333333332,,2.2583333333333333,47.083333333333336,9.534782608695652,6.139130434782608,999.5,1009.4791666666666,0.8333333333333334,1.8013333333333332,,,0.7368421052631579,0.0,,1603.2083333333333,21.712500000000002,20.258333333333333,19.941666666666666,19.308333333333334,19.70954420085843,,,,,,
2018-05-25,9507515.0,123.0,3539.0,9507515,19.754166666666666,,1.7625,47.291666666666664,10.125,6.970833333333334,998.6041666666666,1008.5,0.8066666666666666,1.6986666666666668,,,3.1666666666666665,0.6521739130434783,,1318.625,23.441666666666666,21.520833333333332,20.925,19.945833333333333,21.76661199002241,,,,,,
2018-05-26,12090906.0,176.0,3297.7272727272725,12090906,21.479166666666668,,1.4166666666666667,50.25,12.183333333333332,9.791666666666666,998.6125000000001,1008.4625,0.84,1.7906666666666666,,,0.16666666666666666,0.0,,1147.6666666666667,25.7625,22.916666666666668,21.84583333333333,20.525000000000002,23.72959857664949,,,,,,
2018-05-27,2359082.0,40.0,3578.378787878788,2359082,20.85909090909091,,2.0,45.95454545454545,11.368421052631579,8.916666666666666,1000.2909090909092,1010.15,0.32857142857142857,1.1985714285714286,,,8.625,3.3636363636363638,45.785714285714285,1584.6818181818182,24.45909090909091,22.713636363636365,22.181818181818183,21.168181818181818,22.693486520116632,,,,,,
2018-05-28,6971185.0,116.0,3160.5945945945946,6971185,23.025,,1.725,48.0,13.375,11.184999999999999,999.68,1009.4799999999999,0.9230769230769231,2.006153846153846,,,2.642857142857143,1.0,20.333333333333332,1692.65,29.860000000000003,25.285,23.445,21.52,25.214691040868747,,,,,,
2018-05-29,5864955.0,90.0,3188.4266666666667,5864955,21.537499999999998,0.25,1.8708333333333333,66.41666666666667,17.53333333333333,15.319047619047618,1001.2416666666667,1011.1041666666666,0.22666666666666666,0.8893333333333333,,,8.952380952380953,7.0,8.434782608695652,1123.0416666666667,25.15416666666667,23.47083333333333,22.954166666666666,21.97083333333333,23.459063141819822,,,,,,
2018-05-30,4553736.0,82.0,,4553736,20.537499999999998,0.0,1.7750000000000001,69.75,16.508333333333333,14.383333333333333,1000.0375,1009.9,0.6533333333333334,1.4446666666666665,,,6.2631578947368425,4.25,8.411764705882353,945.9166666666666,25.7,23.733333333333334,23.099999999999998,21.97083333333333,22.509206146583185,,,,,,
2018-05-31,3844986.0,64.0,3203.7014925373132,3844986,20.525000000000002,,1.9416666666666667,61.208333333333336,14.166666666666666,11.991304347826087,1001.1875,1011.1,0.86,1.796,,,1.1666666666666667,0.9130434782608695,14.75,1246.2083333333333,27.454166666666666,24.045833333333334,23.254166666666666,22.070833333333336,22.465442415664715,,,,,,
2017-10-01,3192644.0,681.0,,3192644,18.212500000000002,0.2727272727272727,2.2624999999999997,74.375,15.4125,13.408333333333333,1007.475,1017.5375,0.04615384615384615,0.2353846153846154,,,8.952380952380953,2.8333333333333335,15.214285714285714,1070.6666666666667,18.066666666666666,19.691666666666666,20.783333333333335,21.104166666666668,19.74208234761791,,,,,,
2017-10-02,3112435.0,625.0,,3112435,21.7,0.5,2.4208333333333334,65.29166666666667,15.9625,13.945833333333333,1001.0875,1010.9583333333334,0.7846153846153846,0.8615384615384615,,,4.05,2.7083333333333335,9.727272727272727,1755.2083333333333,21.662499999999998,22.454166666666666,21.875,21.2,23.51828646713317,,,,,,
2017-10-03,2547717.0,523.0,,2547717,17.954166666666666,,2.4,52.041666666666664,10.795833333333334,7.820833333333333,1007.5124999999999,1017.5916666666667,0.5153846153846154,0.5530769230769231,,,6.222222222222222,3.25,17.933333333333334,1997.875,18.183333333333334,19.945833333333333,20.787499999999998,21.0625,19.4240128986257,,,,,,
2017-10-04,1347463.0,292.0,,1347463,16.670833333333334,,1.6958333333333335,47.75,8.895833333333334,5.170833333333333,1012.8958333333334,1023.0749999999999,0.6538461538461539,0.7638461538461538,,,5.888888888888889,1.6666666666666667,25.90909090909091,1998.8333333333333,18.216666666666665,19.337500000000002,19.883333333333333,20.1875,18.45714523874198,,,,,,
2017-10-05,2534995.0,531.0,,2534995,18.404166666666665,,2.1625,56.125,11.741666666666667,9.275,1013.225,1023.3416666666667,0.49230769230769234,0.5546153846153846,,,7.055555555555555,2.4583333333333335,19.7,1999.4166666666667,18.925,19.462500000000002,19.854166666666668,20.025000000000002,19.949767919170977,,,,,,
