그룹_1,Sales Amt_최빈값,Sales Amt_중앙값,Sales Amt_평균,Sales Amt_범위,Sales Amt_사분편차,Sales Amt_분산,Sales Amt_표준편차,Sales (Bag)_최빈값,Sales (Bag)_중앙값,Sales (Bag)_평균,Sales (Bag)_범위,Sales (Bag)_사분편차,Sales (Bag)_분산,Sales (Bag)_표준편차,Sales SU_최빈값,Sales SU_중앙값,Sales SU_평균,Sales SU_범위,Sales SU_사분편차,Sales SU_분산,Sales SU_표준편차,Unit Price_최빈값,Unit Price_중앙값,Unit Price_평균,Unit Price_범위,Unit Price_사분편차,Unit Price_분산,Unit Price_표준편차,금액_최빈값,금액_중앙값,금액_평균,금액_범위,금액_사분편차,금액_분산,금액_표준편차
(주)지에스리테일 본부,3000.0,13800.0,29246.29763901432,1305408.0,23900.0,3408128934.2428565,58379.182370455106,1,5.0,10.796800412849954,744,9.0,573.921682447461,23.956662589923933,0.0,0.0,1.9206553993033157,527.0,1.0,114.54679435821338,10.702653612922983,3000.0,2910.0,2957.3182229110166,5104.0,500.0,904221.1109258747,950.9054163931735,3000,13800.0,29246.29763901432,1305408,23900.0,3408128934.2428565,58379.182370455106
㈜신세계 이마트부문,1150.0,50590.0,259114.6265259673,22218016.0,192947.0,649669443937.7522,806020.7465926372,1,21.0,88.48272294641009,7067,63.0,68052.53047948827,260.86879935992397,0.0,1.0,10.97144690407443,1726.0,3.0,3188.190287276958,56.46406190912019,1800.0,1920.0,2867.2348006214397,10220.0,1391.0,4126294.5865050857,2031.3282813235987,1150,50590.0,259114.6265259673,22218016,192947.0,649669443937.7522,806020.7465926372
롯데마트 온라인몰,3000.0,10800.0,42568.96699669967,2902940.0,18600.0,19885157991.950333,141014.74388144785,1,3.0,8.849834983498349,516,5.0,666.3727828581897,25.814197311909385,0.0,0.0,0.6192162417374882,46.0,0.0,4.146080216695525,2.0361925784894526,3000.0,3000.0,4142.019867549669,12900.0,2400.0,4180477.0119041805,2044.6214837725297,3000,10800.0,42568.96699669967,2902940,18600.0,19885157991.950333,141014.74388144785
롯데쇼핑㈜ 롯데마트,12000.0,63000.0,182097.43725900628,16136000.0,135000.0,244622566444.89398,494593.33441211475,1,19.0,47.22044728434505,2988,38.0,11900.320357495244,109.08858949264696,0.0,0.0,5.89637649138312,467.0,3.0,259.25086181494385,16.101268950456788,3000.0,3000.0,3643.9429988974643,13400.0,1000.0,2915580.4158248594,1707.5070763615768,12000,63000.0,182097.43725900628,16136000,135000.0,244622566444.89398,494593.33441211475
롯데쇼핑㈜롯데슈퍼사업부,3000.0,20340.0,43632.39834815756,2985900.0,33605.0,9843073451.183552,99212.26462077937,1,7.0,13.990470139771283,1148,12.0,959.9590366700788,30.983205719713364,0.0,0.0,3.0120839516641933,663.0,2.0,176.35919254069273,13.280029839600992,3000.0,3000.0,3201.495710200191,8588.0,477.0,1456963.9997962278,1207.0476377493258,3000,20340.0,43632.39834815756,2985900,33605.0,9843073451.183552,99212.26462077937
씨에스유통㈜,1950.0,1950.0,1950.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1950.0,1950.0,1950.0,0.0,0.0,0.0,0.0,1950,1950.0,1950.0,0,0.0,0.0,0.0
쿠팡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.197887715397443,1484,1.0,2647.5861878672545,51.45470034765779,0.0,0.0,2.0150083379655364,401.0,0.0,193.4222316703101,13.907632137438426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
홈플러스(주),14571.0,110357.0,167630.27,1083428.0,136928.75,38501228227.67744,196217.29849245565,5,36.0,57.76,362,48.75,4579.602399999989,67.672759659999,0.0,0.0,21.79,363.0,7.5,4022.32589999993,63.42180934032022,2999.0,2999.0,2949.42,1090.0,2.0,39609.303599999665,199.02086222303345,14571,110357.0,167630.27,1083428,136928.75,38501228227.67744,196217.29849245565
홈플러스테스코(주),2990.0,75000.0,200324.4380060729,20508710.0,159060.0,312451600183.782,558973.7025869661,1,29.0,66.6445681511471,12732,60.25,38405.68271003671,195.97367861536077,0.0,0.0,11.510561000337953,2484.0,3.0,3510.609638381831,59.250397790916395,3000.0,2990.0,3070.9762065474183,20090.0,1650.25,1987438.327479797,1409.765344828634,2990,75000.0,200324.4380060729,20508710,159060.0,312451600183.782,558973.7025869661
