그룹_1,Sales Amt_최빈값,Sales Amt_중앙값,Sales Amt_평균,Sales Amt_범위,Sales Amt_사분편차,Sales Amt_분산,Sales Amt_표준편차,Sales (Bag)_최빈값,Sales (Bag)_중앙값,Sales (Bag)_평균,Sales (Bag)_범위,Sales (Bag)_사분편차,Sales (Bag)_분산,Sales (Bag)_표준편차,Sales SU_최빈값,Sales SU_중앙값,Sales SU_평균,Sales SU_범위,Sales SU_사분편차,Sales SU_분산,Sales SU_표준편차,Unit Price_최빈값,Unit Price_중앙값,Unit Price_평균,Unit Price_범위,Unit Price_사분편차,Unit Price_분산,Unit Price_표준편차,금액_최빈값,금액_중앙값,금액_평균,금액_범위,금액_사분편차,금액_분산,금액_표준편차
가을,0.0,26400.0,80875.31373157486,5192640.0,63600.0,60400049756.7985,245764.2157776402,1,9.0,28.208145849495732,1882,23.0,6388.998956142931,79.93121390384943,0.0,0.0,3.4596234635133034,148.0,2.0,97.79885985511166,9.88933060702855,3000.0,3000.0,3029.884006334125,13613.0,1150.0,2380741.917424276,1542.9653001361619,0,26400.0,80875.31373157486,5192640,63600.0,60400049756.7985,245764.2157776402
겨울,0.0,39600.0,134609.09676243697,20508710.0,120309.0,136080551150.42085,368890.9746123112,1,15.0,42.034440867399624,12732,40.0,22036.800551055283,148.4479725393893,0.0,0.0,3.215906273245723,509.0,1.0,143.87149754834758,11.994644536139768,3000.0,3000.0,3302.4712286158633,20200.0,1709.0,3187410.689732075,1785.3320950826137,0,39600.0,134609.09676243697,20508710,120309.0,136080551150.42085,368890.9746123112
봄,0.0,61520.0,275252.9701142898,22218016.0,210690.0,667959221825.8762,817287.7227915982,1,21.0,85.45155107545965,7067,67.0,57249.04611937233,239.26772895518596,0.0,1.0,15.856087512430744,2484.0,5.0,5263.194660697666,72.54787840245686,3000.0,3000.0,3318.0631983746916,13900.0,1500.0,2803630.242632121,1674.4044441627957,0,61520.0,275252.9701142898,22218016,210690.0,667959221825.8762,817287.7227915982
여름,3000.0,14000.0,30026.958453496754,1650400.0,30600.0,2222467740.657522,47143.05612343691,1,5.0,10.940428983417448,1029,10.0,396.6432609550937,19.915904723489056,0.0,0.0,3.3742790194664742,183.0,1.0,112.4818510483337,10.605746133503937,3000.0,3000.0,3043.92211172042,12900.0,878.5,1892793.5578333847,1375.7883404918741,3000,14000.0,30026.958453496754,1650400,30600.0,2222467740.657522,47143.05612343691
