날짜,PM10,PM25,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),체감온도,기압차,풍압,판매량_어제,판매량_7일평균,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,Sales Amt
2017-01-07,62.52327305069671,40.00924321201617,1.4625000000000001,152.08333333333334,66.41666666666667,5.466666666666666,-1.5291666666666668,1011.2624999999999,1021.9416666666666,40.75,782.5,3.1125000000000003,3.545833333333333,3.6875,4.1499999999999995,4.516666666666667,5.377083333333333,10.679166666666674,222.42187500000003,5370202.0,7652132.714285715,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15.875646183966287
2017-01-08,38.35001489425082,23.689953810623557,2.5833333333333335,149.58333333333334,60.125,5.816666666666666,-0.7333333333333334,1004.4791666666666,1014.9875000000001,26.90909090909091,1603.4166666666667,5.875,5.308333333333334,4.5874999999999995,4.595833333333333,4.770833333333333,6.574583333333333,10.50833333333344,386.42361111111114,7847033.0,6816899.285714285,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.30747563453724
2017-01-09,62.541003304295586,44.685367264314635,3.2083333333333335,276.6666666666667,61.625,4.4375,-4.666666666666667,1006.0625,1016.7666666666668,8.333333333333334,782.5416666666666,3.7291666666666665,4.4375,4.745833333333334,5.1375,5.333333333333333,1.73625,10.704166666666765,887.638888888889,1635526.0,6414562.428571428,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.603892161957026
2017-01-10,37.33442330558859,17.57524134014764,3.1166666666666667,270.8333333333333,47.375,2.2666666666666666,-13.270833333333334,1012.6208333333334,1023.6374999999999,10.0,1849.9166666666667,-1.5666666666666667,0.6375000000000001,2.1666666666666665,3.6666666666666665,4.616666666666666,-3.9854166666666666,11.016666666666538,844.0972222222222,5979766.0,5804020.428571428,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.46936393665833
2017-01-11,30.87283582089552,14.09189497716895,2.0833333333333335,263.75,35.375,1.6291666666666667,-17.4875,1014.725,1025.8083333333334,12.75,1991.2916666666667,-2.25,-0.6916666666666668,0.7541666666666668,2.441666666666667,3.579166666666667,-4.67625,11.083333333333371,549.4791666666667,5227082.0,5150306.142857143,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.12621569657445
2017-01-12,37.02683363148479,19.227609811751282,3.1374999999999997,255.41666666666666,44.125,2.4125,-13.220833333333333,1007.8125,1018.7166666666667,12.75,1810.3333333333333,0.03749999999999998,0.26666666666666666,0.8541666666666666,2.0791666666666666,3.0375,-2.5516666666666663,10.904166666666697,801.3697916666665,3708787.0,4873469.857142857,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.284742049257163
2017-01-13,34.78502122498484,14.208778840742825,2.7624999999999997,258.3333333333333,45.833333333333336,1.8333333333333333,-15.958333333333334,1006.6,1017.6541666666667,9.636363636363637,1832.5833333333333,-3.670833333333333,-1.05,0.3666666666666667,1.7583333333333335,2.7624999999999997,-6.396249999999999,11.054166666666674,713.6458333333333,4345893.0,4632925.857142857,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15.120159573705928
2017-01-14,50.002377414561664,12.332403792526492,3.75,284.5833333333333,34.083333333333336,1.1083333333333334,-21.695833333333336,1014.1458333333334,1025.3833333333334,17.78829122232438,1994.875,-5.129166666666666,-2.1958333333333333,-0.2791666666666667,1.2833333333333334,2.3541666666666665,-9.919166666666666,11.237500000000068,1067.1875,3686394.0,4374544.285714285,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15.613643506686614
2017-01-15,31.906221821460775,15.132203389830508,2.35,276.25,34.208333333333336,1.2666666666666666,-20.175,1017.4041666666667,1028.6291666666666,17.78829122232438,1992.625,-4.391666666666667,-2.4375,-0.8375,0.8166666666666668,1.9375,-7.477083333333334,11.224999999999909,649.1875,6038362.0,4908917.714285715,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,15.497481388519754
2017-01-16,52.39641555285541,28.099610461880914,1.3666666666666665,190.0,37.208333333333336,1.6458333333333333,-16.962500000000002,1018.2083333333334,1029.3041666666666,17.78829122232438,1926.1666666666667,-2.85,-1.7958333333333334,-0.7999999999999999,0.5958333333333333,1.6458333333333333,-3.5737499999999995,11.09583333333319,259.66666666666663,5376140.0,4602359.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.159381643196935
